Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes,disease_encoded,mealtype_encoded,diettype_encoded,cuisine_encoded,calories_scaled,protein_scaled,carbs_scaled,fats_scaled
Obesity,Lunch,Grilled Halloumi Salad and mixed veggies,Vegetarian,Continental,430,14.5,55.2,26.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.,11,2,3,1,0.18916540746592364,-0.8452115056865996,0.1647583196737649,1.5725886814415009
Fatty Liver,Breakfast,Stir-fried Tempeh and Veggies with quinoa,Vegan,Asian,392,6.1,68.3,21.0,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,0,2,0,-0.07896015609406289,-1.705279664933524,0.7443573324472239,0.7881028607110415
Kidney Disease,Lunch,Ragi Porridge,Vegan,Indian,261,11.2,71.5,16.5,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,2,2,2,-1.0032877567877005,-1.1830954253907486,0.8859387706819621,0.15771246905263683
Gastritis,Breakfast,Salmon Teriyaki (light) light masala,Pescatarian,Asian,609,39.5,74.9,9.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,0,1,0,1.4521779305511233,1.714515158738771,1.0363690488063717,-0.8929381837113709
PCOS,Breakfast,Steamed Fish with spices,Pescatarian,Indian,432,32.0,22.0,14.9,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,0,1,2,0.2032772792322387,0.9465971594111598,-1.3041491020116434,-0.06642633687035145
Kidney Disease,Lunch,Salmon Teriyaki (light),Pescatarian,Asian,546,30.8,27.7,10.8,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,2,1,0,1.0076539699121982,0.8237302795187421,-1.0519571651560162,-0.6407820270480089
Fatty Liver,Dinner,Baked Cod with Herbs with spinach,Pescatarian,Continental,333,6.7,55.2,17.7,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,1,1,1,-0.49526037320035776,-1.6438462249873154,0.1647583196737649,0.32581657349487797
Diabetes,Breakfast,Grilled Tandoori Chicken,Non-Vegetarian,Indian,600,17.2,52.1,10.0,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,0,0,2,1.3886745076027054,-0.5687610259286596,0.027601301383862256,-0.7528514300095032
GERD,Lunch,Grilled Salmon Salad,Pescatarian,Mediterranean,573,19.8,19.4,19.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,2,1,3,1.1981642387574518,-0.30254945282842094,-1.4191840205773683,0.5779727301582399
Thyroid,Snack,Baked Cod with Herbs,Pescatarian,Continental,490,9.3,43.4,11.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,3,1,1,0.6125215604553761,-1.3776346518870766,-0.3573232338168322,-0.5427212994567017
Depression/Anxiety,Breakfast,Grilled Chicken Bowl,Non-Vegetarian,Mediterranean,231,20.3,33.7,9.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,0,0,3,-1.214965833282427,-0.25135491953991357,-0.786491968465882,-0.8649208329709974
Hypertension,Snack,Paneer Bhurji,Vegetarian,Indian,207,37.5,78.2,7.2,"paneer or halloumi, bell peppers, olive oil, spinach or greens","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,3,3,2,-1.384308294478208,1.5097370255847413,1.1823749069859453,-1.145094340374733
GERD,Snack,Grilled Salmon Salad with spinach,Pescatarian,Mediterranean,359,15.0,73.2,14.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,1,3,-0.3118060402382617,-0.7940169723980922,0.9611539097441669,-0.1364697137212853
Anemia,Snack,Baked Herb Salmon with spinach,Non-Vegetarian,Mediterranean,456,31.0,16.8,10.8,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,3,0,3,0.37261974042801965,0.844208092834145,-1.5342189391430927,-0.6407820270480089
Diabetes,Snack,Chickpea Salad with quinoa,Vegetarian,Mediterranean,195,26.2,64.7,8.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,3,3,3,-1.4689795250760982,0.3527405732644738,0.5850782144331438,-0.9069468590815576
Hypertension,Lunch,Oats Idli,Vegetarian,Indian,449,23.8,84.9,8.1,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,2,3,2,0.3232281892459169,0.10700681347963835,1.4788110432899284,-1.0190162620430518
Celiac Disease,Dinner,Tabbouleh with quinoa light masala,Vegan,Mediterranean,394,16.8,70.6,4.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,1,2,3,-0.06484828432774781,-0.6097166525594654,0.8461189911784418,-1.4813025492592151
GERD,Breakfast,Egg Bhurji light masala,Non-Vegetarian,Indian,611,8.3,31.1,10.1,"egg whites, spinach, onion, pepper, olive oil spray","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,0,0,2,1.4662898023174384,-1.4800237184640914,-0.9015268870316068,-0.7388427546393165
GERD,Dinner,Ragi Porridge with quinoa,Vegan,Indian,295,9.9,20.3,16.8,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,1,2,2,-0.7633859367603443,-1.3162012119408677,-1.379364241073848,0.19973849516319722
Heart Disease,Dinner,Lentil Stew,Vegan,Mediterranean,596,15.0,50.1,25.6,"lentils (moong/masoor), onion, tomato, turmeric, cumin, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,1,2,3,1.3604507640700754,-0.7940169723980922,-0.06088709751284908,1.4325019277396331
Depression/Anxiety,Breakfast,Fish Tikka (tandoor style) light masala,Pescatarian,Indian,554,10.4,88.4,7.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,0,1,2,1.0641014569774585,-1.2650066786523604,1.633665741359173,-1.1731116911151063
GERD,Snack,Ragi Dosa,Vegetarian,Indian,513,36.7,54.6,23.9,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,3,2,0.7748080857679994,1.4278257723231298,0.13821180000475142,1.1943544464464575
High Cholesterol,Lunch,Roast Chicken with Herbs with spinach,Non-Vegetarian,Continental,620,18.2,65.2,19.7,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,2,0,1,1.5297932252658561,-0.4663719593516448,0.6072003141573216,0.6059900808986134
Thyroid,Snack,Grilled Chicken Bowl,Non-Vegetarian,Mediterranean,575,12.0,44.2,7.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,3,0,3,1.212276110523767,-1.1011841721291367,-0.32192787425814745,-1.1030683142641724
Thyroid,Snack,Lentil Stew,Vegan,Mediterranean,215,19.0,15.0,14.8,"lentils (moong/masoor), onion, tomato, turmeric, cumin, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,3,2,3,-1.3278608074129474,-0.3844607060900329,-1.6138584981501332,-0.08043501224053816
PCOS,Snack,Stir-fried Tempeh and Veggies with quinoa,Vegan,Asian,364,17.2,79.4,27.2,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,3,2,0,-0.276526360822474,-0.5687610259286596,1.2354679463239722,1.656640733662621
Heart Disease,Dinner,Roasted Veggie Bowl light masala,Vegan,Continental,251,25.7,88.7,4.0,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,1,2,1,-1.0738471156192761,0.30154603997596635,1.6469390011936798,-1.5933719522207095
High Cholesterol,Snack,Rice Noodle Salad,Vegan,Asian,421,9.9,82.2,7.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,3,2,0,0.12566198451750576,-1.3162012119408677,1.359351704779368,-1.0610422881536121
Diabetes,Snack,Egg Bhurji,Non-Vegetarian,Indian,645,28.6,37.8,10.8,"egg whites, spinach, onion, pepper, olive oil spray","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,3,0,2,1.7061916223447948,0.5984743330493095,-0.605090750727624,-0.6407820270480089
Depression/Anxiety,Breakfast,Rice Noodle Salad light masala,Vegan,Asian,443,10.3,44.8,26.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,0,2,0,0.28089257394697165,-1.2752455853100617,-0.2953813545891343,1.5585800060713138
Fatty Liver,Lunch,Salmon Teriyaki (light) with quinoa,Pescatarian,Asian,380,32.7,59.3,11.1,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,2,1,0,-0.16363138669195337,1.0182695060150706,0.3461595374120229,-0.5987560009374489
GERD,Snack,Grilled Salmon Salad,Pescatarian,Mediterranean,305,23.5,61.4,11.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,1,3,-0.6928265779287689,0.07629009350653382,0.43907235625356983,-0.5567299748268884
Depression/Anxiety,Lunch,Steamed Fish with Ginger with spinach,Non-Vegetarian,Asian,285,39.5,59.7,22.2,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,2,0,0,-0.8339452955919197,1.714515158738771,0.3638572171913654,0.9562069651532826
GERD,Snack,Lemon Herb Fish with quinoa,Pescatarian,Mediterranean,495,29.4,81.6,24.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,1,3,0.6478012398711638,0.6803855863109212,1.3328051851103542,1.2784064986675785
Hypertension,Snack,Baked Herb Salmon with quinoa,Non-Vegetarian,Mediterranean,629,34.8,47.6,23.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,3,0,3,1.593296648214274,1.233286545826801,-0.17149759613373824,1.0682763681147769
Fatty Liver,Dinner,Tuna Salad (olive oil dressing),Pescatarian,Continental,540,35.3,47.1,21.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,1,1,1,0.965318354613253,1.2844810791153085,-0.19361969585791608,0.9001722636725358
Depression/Anxiety,Dinner,Turkey Salad,Non-Vegetarian,Continental,525,15.7,33.2,11.0,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,1,0,1,0.8594793163658899,-0.7223446257941819,-0.8086140681900598,-0.6127646763076355
